Simulation;Node;Local Preference;Next-hop;Path Length;Termination Time
1;393375;•;;0;0
1;131224;•;;0;0
1;262302;•;;0;0
1;131225;•;;0;0
1;262303;•;;0;0
1;156;•;;0;0
1;131230;•;;0;0
1;262296;•;;0;0
1;393370;•;;0;0
1;157;•;;0;0
1;262297;•;;0;0
1;393371;•;;0;0
1;158;•;;0;0
1;262298;•;;0;0
1;393368;•;;0;0
1;159;•;;0;0
1;262299;•;;0;0
1;393369;•;;0;0
1;160;•;;0;0
1;131234;•;;0;0
1;393382;•;;0;0
1;161;•;;0;0
1;131235;•;;0;0
1;262309;•;;0;0
1;131232;•;;0;0
1;262310;•;;0;0
1;262311;•;;0;0
1;262304;•;;0;0
1;393378;•;;0;0
1;131239;•;;0;0
1;393379;•;;0;0
1;166;•;;0;0
1;131236;•;;0;0
1;262306;•;;0;0
1;393376;•;;0;0
1;167;•;;0;0
1;131237;•;;0;0
1;262307;•;;0;0
1;393377;•;;0;0
1;131242;•;;0;0
1;262316;•;;0;0
1;393390;•;;0;0
1;262317;•;;0;0
1;170;•;;0;0
1;131240;•;;0;0
1;262318;•;;0;0
1;393389;•;;0;0
1;131246;•;;0;0
1;262312;•;;0;0
1;393386;•;;0;0
1;173;•;;0;0
1;131247;•;;0;0
1;262313;•;;0;0
1;393387;•;;0;0
1;174;p;8641;2;4
1;131244;•;;0;0
1;262314;•;;0;0
1;393384;•;;0;0
1;131245;•;;0;0
1;262315;•;;0;0
1;393385;•;;0;0
1;262324;•;;0;0
1;393398;p;23033;4;8
1;262325;•;;0;0
1;393399;•;;0;0
1;262326;•;;0;0
1;393396;•;;0;0
1;262327;•;;0;0
1;393397;•;;0;0
1;131254;•;;0;0
1;262320;•;;0;0
1;131255;•;;0;0
1;262321;•;;0;0
1;393395;•;;0;0
1;262322;•;;0;0
1;393392;•;;0;0
1;131253;•;;0;0
1;262323;•;;0;0
1;393393;•;;0;0
1;262332;•;;0;0
1;131259;•;;0;0
1;262333;•;;0;0
1;393407;•;;0;0
1;186;•;;0;0
1;131256;•;;0;0
1;262334;•;;0;0
1;393404;•;;0;0
1;187;•;;0;0
1;131257;•;;0;0
1;262335;•;;0;0
1;393405;•;;0;0
1;188;•;;0;0
1;131262;•;;0;0
1;262328;•;;0;0
1;262329;•;;0;0
1;190;•;;0;0
1;262330;•;;0;0
1;262331;•;;0;0
1;393401;•;;0;0
1;393414;•;;0;0
1;131267;•;;0;0
1;393415;•;;0;0
1;194;•;;0;0
1;131264;•;;0;0
1;262342;•;;0;0
1;393412;•;;0;0
1;195;•;;0;0
1;131265;•;;0;0
1;262343;•;;0;0
1;393413;•;;0;0
1;196;•;;0;0
1;131270;•;;0;0
1;262336;•;;0;0
1;393410;•;;0;0
1;131268;•;;0;0
1;262338;•;;0;0
1;393408;•;;0;0
1;131269;•;;0;0
1;393409;•;;0;0
1;200;•;;0;0
1;131274;•;;0;0
1;131275;•;;0;0
1;262349;•;;0;0
1;393423;•;;0;0
1;202;p;52925;4;8
1;131272;•;;0;0
1;393420;•;;0;0
1;203;•;;0;0
1;131273;•;;0;0
1;262351;•;;0;0
1;131278;•;;0;0
1;262344;•;;0;0
1;393418;•;;0;0
1;205;•;;0;0
1;131279;•;;0;0
1;393419;•;;0;0
1;206;•;;0;0
1;131276;•;;0;0
1;262346;•;;0;0
1;393416;•;;0;0
1;393417;•;;0;0
1;131282;•;;0;0
1;262356;•;;0;0
1;209;p;22284;5;10
1;131283;•;;0;0
1;262357;•;;0;0
1;210;•;;0;0
1;131280;•;;0;0
1;131281;•;;0;0
1;262359;•;;0;0
1;393429;•;;0;0
1;131286;•;;0;0
1;262352;•;;0;0
1;393426;•;;0;0
1;213;•;;0;0
1;131287;•;;0;0
1;262353;•;;0;0
1;131284;•;;0;0
1;262354;•;;0;0
1;393424;•;;0;0
1;131285;•;;0;0
1;262355;•;;0;0
1;393425;•;;0;0
1;131290;•;;0;0
1;262364;•;;0;0
1;393438;•;;0;0
1;217;•;;0;0
1;131291;•;;0;0
1;262365;•;;0;0
1;393439;•;;0;0
1;262366;•;;0;0
1;393436;•;;0;0
1;262367;•;;0;0
1;220;•;;0;0
1;131294;•;;0;0
1;262360;•;;0;0
1;393434;•;;0;0
1;131295;•;;0;0
1;262361;•;;0;0
1;131292;•;;0;0
1;262362;•;;0;0
1;393432;•;;0;0
1;223;•;;0;0
1;131293;•;;0;0
1;262363;•;;0;0
1;393433;•;;0;0
1;224;•;;0;0
1;262372;•;;0;0
1;393446;•;;0;0
1;225;•;;0;0
1;131299;•;;0;0
1;262373;•;;0;0
1;393447;•;;0;0
1;226;•;;0;0
1;131296;•;;0;0
1;262374;•;;0;0
1;393444;•;;0;0
1;131297;•;;0;0
1;262375;•;;0;0
1;393445;•;;0;0
1;228;•;;0;0
1;131302;•;;0;0
1;262368;•;;0;0
1;393442;•;;0;0
1;229;•;;0;0
1;131303;•;;0;0
1;262369;•;;0;0
1;393443;•;;0;0
1;231;•;;0;0
1;393441;•;;0;0
1;131306;•;;0;0
1;262380;•;;0;0
1;393454;•;;0;0
1;262381;•;;0;0
1;393455;•;;0;0
1;262382;•;;0;0
1;393452;•;;0;0
1;262383;•;;0;0
1;393453;•;;0;0
1;131310;•;;0;0
1;262376;•;;0;0
1;237;•;;0;0
1;262377;•;;0;0
1;393451;•;;0;0
1;262378;•;;0;0
1;239;•;;0;0
1;262379;•;;0;0
1;131314;•;;0;0
1;262388;•;;0;0
1;131315;•;;0;0
1;262389;•;;0;0
1;393463;•;;0;0
1;131312;•;;0;0
1;262390;•;;0;0
1;393460;•;;0;0
1;243;•;;0;0
1;262391;•;;0;0
1;131318;•;;0;0
1;393458;•;;0;0
1;262385;•;;0;0
1;393459;•;;0;0
1;131316;•;;0;0
1;393456;•;;0;0
1;131317;•;;0;0
1;262387;•;;0;0
1;393457;•;;0;0
1;131322;•;;0;0
1;393470;•;;0;0
1;131323;•;;0;0
1;262397;•;;0;0
1;250;•;;0;0
1;262398;•;;0;0
1;393468;•;;0;0
1;262399;•;;0;0
1;393469;•;;0;0
1;252;•;;0;0
1;262393;•;;0;0
1;393467;•;;0;0
1;131324;•;;0;0
1;262394;•;;0;0
1;393464;•;;0;0
1;131325;•;;0;0
1;262395;•;;0;0
1;393465;•;;0;0
1;262404;•;;0;0
1;393478;•;;0;0
1;257;•;;0;0
1;262405;•;;0;0
1;393479;•;;0;0
1;258;•;;0;0
1;262406;•;;0;0
1;393476;•;;0;0
1;262407;•;;0;0
1;260;•;;0;0
1;262400;•;;0;0
1;393474;•;;0;0
1;262401;•;;0;0
1;393475;•;;0;0
1;131332;•;;0;0
1;262402;•;;0;0
1;262403;•;;0;0
1;393473;•;;0;0
1;264;•;;0;0
1;262412;•;;0;0
1;262413;•;;0;0
1;262414;•;;0;0
1;267;•;;0;0
1;131337;•;;0;0
1;262415;•;;0;0
1;393485;•;;0;0
1;268;•;;0;0
1;131342;•;;0;0
1;262408;•;;0;0
1;393482;•;;0;0
1;269;•;;0;0
1;131343;•;;0;0
1;262409;•;;0;0
1;393483;•;;0;0
1;270;•;;0;0
1;271;•;;0;0
1;131341;•;;0;0
1;262411;•;;0;0
