 Time  | Event  |   Node   | Routing Information
   4   | LEARN  |  398219  | • via 3356
   4   | LEARN  |  398194  | • via 3356
   4   | LEARN  |  398191  | • via 3356
   4   | LEARN  |  398173  | • via 3356
   4   | LEARN  |  398170  | • via 3356
   4   | LEARN  |  398160  | • via 3356
   4   | LEARN  |  398143  | • via 3356
   4   | LEARN  |  398080  | • via 3356
   4   | LEARN  |  398074  | • via 3356
   4   | LEARN  |  398044  | • via 3356
   4   | LEARN  |  398037  | • via 3356
   4   | LEARN  |  398034  | • via 3356
   4   | LEARN  |  398029  | • via 3356
   4   | LEARN  |  398025  | • via 3356
   4   | LEARN  |  398013  | • via 3356
   4   | LEARN  |  398010  | • via 3356
   4   | LEARN  |  397994  | • via 3356
   4   | LEARN  |  397964  | • via 3356
   4   | LEARN  |  397929  | • via 3356
   4   | LEARN  |  397918  | • via 3356
   4   | LEARN  |  397913  | • via 3356
   4   | LEARN  |  397900  | • via 3356
   4   | LEARN  |  397892  | • via 3356
   4   | LEARN  |  397884  | • via 3356
   4   | LEARN  |  397880  | • via 3356
   4   | LEARN  |  397878  | • via 3356
   4   | LEARN  |  397868  | • via 3356
   4   | LEARN  |  397865  | • via 3356
   4   | LEARN  |  397862  | • via 3356
   4   | LEARN  |  397859  | • via 3356
   4   | LEARN  |  397849  | • via 3356
   4   | LEARN  |  397844  | • via 3356
   4   | LEARN  |  397826  | • via 3356
   4   | LEARN  |  397818  | • via 3356
   4   | LEARN  |  397808  | • via 3356
   4   | LEARN  |  397801  | • via 3356
   4   | LEARN  |  397791  | • via 3356
   4   | LEARN  |  397774  | • via 3356
   4   | LEARN  |  397756  | • via 3356
   4   | LEARN  |  397754  | • via 3356
   4   | LEARN  |  397738  | • via 3356
   4   | LEARN  |  397726  | • via 3356
   4   | LEARN  |  397719  | • via 3356
   4   | LEARN  |  397718  | • via 3356
   4   | LEARN  |  397717  | • via 3356
   4   | LEARN  |  397700  | • via 3356
   4   | LEARN  |  397699  | • via 3356
   4   | LEARN  |  397695  | • via 3356
   4   | LEARN  |  397690  | • via 3356
   4   | LEARN  |  397684  | • via 3356
   4   | LEARN  |  397679  | • via 3356
   4   | LEARN  |  397665  | • via 3356
   4   | LEARN  |  397664  | • via 3356
   4   | LEARN  |  397650  | • via 3356
   4   | LEARN  |  397645  | • via 3356
   4   | LEARN  |  397642  | • via 3356
   4   | LEARN  |  397638  | • via 3356
   4   | LEARN  |  397635  | • via 3356
   4   | LEARN  |  397611  | • via 3356
   4   | LEARN  |  397575  | • via 3356
   4   | LEARN  |  397571  | • via 3356
   4   | LEARN  |  397551  | • via 3356
   4   | LEARN  |  397497  | • via 3356
   4   | LEARN  |  397464  | • via 3356
   4   | LEARN  |  397462  | • via 3356
   4   | LEARN  |  397457  | • via 3356
   4   | LEARN  |  397449  | • via 3356
